"filename", "language", "CSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterSheet.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\initialiseChar.js", "JavaScript", 0, 0, 22, 2, 6, 30
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\CombatTab.jsx", "JavaScript JSX", 0, 15, 0, 3, 2, 20
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\Character.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\index.css", "CSS", 4, 0, 0, 0, 1, 5
"Total", "-", 4, 17, 22, 5, 9, 57
