"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterListItem.jsx", "JavaScript JSX", 0, 22, 10, 8, 40
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassInfo.jsx", "JavaScript JSX", 0, -2, 0, 0, -2
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassRow.jsx", "JavaScript JSX", 0, 113, 14, 31, 158
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassTable.jsx", "JavaScript JSX", 0, -44, -7, -12, -63
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\HPCell.jsx", "JavaScript JSX", 0, 74, 13, 9, 96
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\LevelCell.jsx", "JavaScript JSX", 0, 70, 12, 10, 92
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\maxLevel.js", "JavaScript", 15, 0, 1, 0, 16
"Total", "-", 15, 233, 43, 46, 337
