"filename", "language", "HTML", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\ClassFeatures\SelectedClassFeatureItem.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 1, 14, 63
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\All\Barbarian\Features\rage.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 12, 46
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\All\Barbarian\abilitiesBarbarian.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassList.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 1, 4, 34
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassSelector.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 18, 11, 114
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassTable.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 4, 15, 97
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\babsaves.js", "JavaScript", 0, 16, 0, 0, 0, 0, 4, 3, 23
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\compatibleArchetypes.js", "JavaScript", 0, 106, 0, 0, 0, 0, 17, 18, 141
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\maxLevel.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 0, 16
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\classAbilities.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Formatting\Formatting.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 1, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Generic\APIFunctions.js", "JavaScript", 0, 10, 0, 0, 0, 0, 6, 3, 19
